run	user	host	Virussequence	sample	totalreads	readshostR1	readshost	%readshost	readsvirus	%readsvirus	unmappedreads	%unmapedreads	medianDPcoveragevirus	Coverage>10x(%)	Variantsinconsensusx10	MissenseVariants	%Ns10x	Lineage
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214821	285604	1545	3090	1,08	281428	98,54	1086	0,380247	287	92,0	19	9	8,44	B.1.177
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214822	306868	97177	194354	63,33	61642	20,09	50872	16,5778	6	41,0	8	3	58,83	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214823	196898	57130	114260	58,03	204	0,1	82434	41,8663	NA	NA	0	0		
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214824	248	41	82	33,06	138	55,65	28	11,2903	NA	NA	0	0		
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214825	277306	747	1494	0,54	271052	97,74	4760	1,71652	217	91,0	17	9	9,10	B.1.177
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214826	337052	415	830	0,25	334627	99,28	1595	0,473221	239	92,0	17	9	7,87	B.1.177
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214827	246530	27978	55956	22,70	79361	32,19	111213	45,1113	10	50,0	15	7	49,72	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214828	312802	28396	56792	18,16	218183	69,75	37827	12,093	33	68,0	14	7	32,31	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214829	379598	3419	6838	1,80	370149	97,51	2611	0,687833	249	89,0	20	8	10,65	B.1.177
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214830	354342	25175	50350	14,21	300202	84,72	3790	1,06959	169	88,0	22	10	12,15	B.1.177
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214831	253440	107619	215238	84,93	11221	4,43	26981	10,6459	NA	22,0	3	2	77,51	Unassigned
MiSeq_GEN_267_20220208_ICasas	virology	Analysis	NC_045512.2	214832	5052	1844	3688	73,00	364	7,21	1000	19,7941	NA	NA	0	0		
